model,split_seed,domain,tau,tp,fp,fn,tn
majority,101,source_heldout,0.05,142326,6754,0,0
majority,101,source_heldout,0.1,142326,6754,0,0
majority,101,source_heldout,0.15,142326,6754,0,0
majority,101,source_heldout,0.2,142326,6754,0,0
majority,101,source_heldout,0.25,142326,6754,0,0
majority,101,source_heldout,0.3,142326,6754,0,0
majority,101,source_heldout,0.35,142326,6754,0,0
majority,101,source_heldout,0.4,142326,6754,0,0
majority,101,source_heldout,0.45,142326,6754,0,0
majority,101,source_heldout,0.5,142326,6754,0,0
majority,101,source_heldout,0.55,142326,6754,0,0
majority,101,source_heldout,0.6,142326,6754,0,0
majority,101,source_heldout,0.65,142326,6754,0,0
majority,101,source_heldout,0.7,142326,6754,0,0
majority,101,source_heldout,0.75,142326,6754,0,0
majority,101,source_heldout,0.8,142326,6754,0,0
majority,101,source_heldout,0.85,142326,6754,0,0
majority,101,source_heldout,0.9,142326,6754,0,0
majority,101,source_heldout,0.95,142326,6754,0,0
majority,101,source_heldout,0.975,142326,6754,0,0
majority,101,source_heldout,0.99,142326,6754,0,0
majority,101,source_heldout,0.995,142326,6754,0,0
majority,101,source_heldout,0.999,142326,6754,0,0
majority,101,target,0.05,738153,477736,0,0
majority,101,target,0.1,738153,477736,0,0
majority,101,target,0.15,738153,477736,0,0
majority,101,target,0.2,738153,477736,0,0
majority,101,target,0.25,738153,477736,0,0
majority,101,target,0.3,738153,477736,0,0
majority,101,target,0.35,738153,477736,0,0
majority,101,target,0.4,738153,477736,0,0
majority,101,target,0.45,738153,477736,0,0
majority,101,target,0.5,738153,477736,0,0
majority,101,target,0.55,738153,477736,0,0
majority,101,target,0.6,738153,477736,0,0
majority,101,target,0.65,738153,477736,0,0
majority,101,target,0.7,738153,477736,0,0
majority,101,target,0.75,738153,477736,0,0
majority,101,target,0.8,738153,477736,0,0
majority,101,target,0.85,738153,477736,0,0
majority,101,target,0.9,738153,477736,0,0
majority,101,target,0.95,738153,477736,0,0
majority,101,target,0.975,738153,477736,0,0
majority,101,target,0.99,738153,477736,0,0
majority,101,target,0.995,738153,477736,0,0
majority,101,target,0.999,738153,477736,0,0
stratified,101,source_heldout,0.05,133581,6350,8745,404
stratified,101,source_heldout,0.1,133581,6350,8745,404
stratified,101,source_heldout,0.15,133581,6350,8745,404
stratified,101,source_heldout,0.2,133581,6350,8745,404
stratified,101,source_heldout,0.25,133581,6350,8745,404
stratified,101,source_heldout,0.3,133581,6350,8745,404
stratified,101,source_heldout,0.35,133581,6350,8745,404
stratified,101,source_heldout,0.4,133581,6350,8745,404
stratified,101,source_heldout,0.45,133581,6350,8745,404
stratified,101,source_heldout,0.5,133581,6350,8745,404
stratified,101,source_heldout,0.55,133581,6350,8745,404
stratified,101,source_heldout,0.6,133581,6350,8745,404
stratified,101,source_heldout,0.65,133581,6350,8745,404
stratified,101,source_heldout,0.7,133581,6350,8745,404
stratified,101,source_heldout,0.75,133581,6350,8745,404
stratified,101,source_heldout,0.8,133581,6350,8745,404
stratified,101,source_heldout,0.85,133581,6350,8745,404
stratified,101,source_heldout,0.9,133581,6350,8745,404
stratified,101,source_heldout,0.95,133581,6350,8745,404
stratified,101,source_heldout,0.975,133581,6350,8745,404
stratified,101,source_heldout,0.99,133581,6350,8745,404
stratified,101,source_heldout,0.995,133581,6350,8745,404
stratified,101,source_heldout,0.999,133581,6350,8745,404
stratified,101,target,0.05,692686,448250,45467,29486
stratified,101,target,0.1,692686,448250,45467,29486
stratified,101,target,0.15,692686,448250,45467,29486
stratified,101,target,0.2,692686,448250,45467,29486
stratified,101,target,0.25,692686,448250,45467,29486
stratified,101,target,0.3,692686,448250,45467,29486
stratified,101,target,0.35,692686,448250,45467,29486
stratified,101,target,0.4,692686,448250,45467,29486
stratified,101,target,0.45,692686,448250,45467,29486
stratified,101,target,0.5,692686,448250,45467,29486
stratified,101,target,0.55,692686,448250,45467,29486
stratified,101,target,0.6,692686,448250,45467,29486
stratified,101,target,0.65,692686,448250,45467,29486
stratified,101,target,0.7,692686,448250,45467,29486
stratified,101,target,0.75,692686,448250,45467,29486
stratified,101,target,0.8,692686,448250,45467,29486
stratified,101,target,0.85,692686,448250,45467,29486
stratified,101,target,0.9,692686,448250,45467,29486
stratified,101,target,0.95,692686,448250,45467,29486
stratified,101,target,0.975,692686,448250,45467,29486
stratified,101,target,0.99,692686,448250,45467,29486
stratified,101,target,0.995,692686,448250,45467,29486
stratified,101,target,0.999,692686,448250,45467,29486
logreg,101,source_heldout,0.05,138824,3533,3502,3221
logreg,101,source_heldout,0.1,136671,2920,5655,3834
logreg,101,source_heldout,0.15,135151,2610,7175,4144
logreg,101,source_heldout,0.2,134016,2363,8310,4391
logreg,101,source_heldout,0.25,132504,2250,9822,4504
logreg,101,source_heldout,0.3,129373,2120,12953,4634
logreg,101,source_heldout,0.35,128731,2015,13595,4739
logreg,101,source_heldout,0.4,128128,1937,14198,4817
logreg,101,source_heldout,0.45,126794,1883,15532,4871
logreg,101,source_heldout,0.5,125952,1814,16374,4940
logreg,101,source_heldout,0.55,125302,1766,17024,4988
logreg,101,source_heldout,0.6,124021,1729,18305,5025
logreg,101,source_heldout,0.65,123081,1689,19245,5065
logreg,101,source_heldout,0.7,120998,1664,21328,5090
logreg,101,source_heldout,0.75,120026,1629,22300,5125
logreg,101,source_heldout,0.8,118316,1558,24010,5196
logreg,101,source_heldout,0.85,115062,1465,27264,5289
logreg,101,source_heldout,0.9,99623,1400,42703,5354
logreg,101,source_heldout,0.95,96136,1084,46190,5670
logreg,101,source_heldout,0.975,91544,782,50782,5972
logreg,101,source_heldout,0.99,34419,765,107907,5989
logreg,101,source_heldout,0.995,20213,752,122113,6002
logreg,101,source_heldout,0.999,7098,12,135228,6742
logreg,101,target,0.05,413502,280701,324651,197035
logreg,101,target,0.1,408528,164581,329625,313155
logreg,101,target,0.15,180474,21025,557679,456711
logreg,101,target,0.2,179745,19300,558408,458436
logreg,101,target,0.25,175420,17854,562733,459882
logreg,101,target,0.3,173329,16566,564824,461170
logreg,101,target,0.35,169332,15117,568821,462619
logreg,101,target,0.4,163979,14338,574174,463398
logreg,101,target,0.45,158029,13529,580124,464207
logreg,101,target,0.5,143128,10129,595025,467607
logreg,101,target,0.55,125023,9462,613130,468274
logreg,101,target,0.6,113762,8920,624391,468816
logreg,101,target,0.65,110161,8058,627992,469678
logreg,101,target,0.7,106417,7092,631736,470644
logreg,101,target,0.75,68966,2683,669187,475053
logreg,101,target,0.8,46751,2047,691402,475689
logreg,101,target,0.85,41036,1393,697117,476343
logreg,101,target,0.9,34059,1002,704094,476734
logreg,101,target,0.95,50,178,738103,477558
logreg,101,target,0.975,14,64,738139,477672
logreg,101,target,0.99,11,34,738142,477702
logreg,101,target,0.995,11,17,738142,477719
logreg,101,target,0.999,1,5,738152,477731
tree,101,source_heldout,0.05,124650,1703,17676,5051
tree,101,source_heldout,0.1,121692,1235,20634,5519
tree,101,source_heldout,0.15,121684,1234,20642,5520
tree,101,source_heldout,0.2,121599,1210,20727,5544
tree,101,source_heldout,0.25,121455,1209,20871,5545
tree,101,source_heldout,0.3,121455,1209,20871,5545
tree,101,source_heldout,0.35,121408,1209,20918,5545
tree,101,source_heldout,0.4,121401,1209,20925,5545
tree,101,source_heldout,0.45,121401,1209,20925,5545
